boss007|文化大**？？
奶奶嘴酱|飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
伊吕_波|弹幕刷起来！！！！
魔都狂少|飞
日记本挂坠君|飞
梁艺隆|飞
sa爷|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇
么么〇号机|听说发弹幕不卡
KKDD3酱|邀请码1f452 互惠互利啊大**&gt;.&lt;
混音♂鬼畜|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▅▆▇▇▆▅▆▇▇▂
超人灬限量版|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▅▆▇▇▆▅▆▇▇▂
御坂18866|招待码：22c54    互相招待 要招待的B站私信
江南道|剧透：黑白熊是江之岛
梦の始|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇
坑爹不纳税|听说发弹幕不卡？？真的吗？？
Baga皇子|▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▅▆▇▇▆▅▆▇▇▂
夹缝中的树叶|发弹幕不卡？
進擊の三爷|输入邀请码aa77b注册游戏可得一张五星卡哦~\(≥▽≤)/~
SaberSakur|飞                                          飞                                          飞                                          飞                                          飞                                          飞
傲娇的小娜|百万亚瑟王输邀请码 8b99 送五星卡
广发虫|据说发弹幕不卡
沐弦の酱|发弹幕不卡- -
暗黎极夜|发弹幕不卡？
暗色调饭|听说发弹幕不卡
汉堡包子|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▆
进击的V叔|了
乖乖酱|亚瑟王 注册填邀请码4b428  送5星萌妹子
Table_Chan|据说发弹幕不卡？
我叫小幽|发弹幕不卡？
霓虹大侠|然后说：“发弹幕不卡”
非最终丿幻想|听说发弹幕不卡
悲剧Gundam00|发弹幕不卡？
神奇嗨蛇|发弹幕不卡？
梦的终点|▁▂▃▄▅▆▇▆▅▄▃▂▁▂▃▄▅▆▇▆▃▂▁▂▃▄▅▆▇▆▅▄▃▂▁▂▃▄▅▆▇▆▅▄▃▂▁▂▃▄▅▆▇▆▃▂▁▂▃▄▅▆▇▆▅▄▃▂▁▂▃▄▅▆▇▆▅▄▃▂▁▂▃▄▅▆▇▆▃▂▁▂▃▄▅▆▇▆▅▄▃▂
木木纯丶|弹幕刷起来~~~
阿呆丢丢|为毛我买了邀请码之后变卡了？？？
苏以晞|发弹幕不卡？
灬幻月丶|谁TMD说发弹幕不卡的
酱油丙|发弹幕不卡
就爱喝RIO|听说发弹幕不卡？
野生违和菌|听说发弹幕不卡
懒猫┿坏宠|发弹幕不卡
turn up疼啊|为什么不带阿明玩
CaesarMiko|看完已死勿救
脑穿孔|官方挖坟
‘天降之物’|七夕必须看的番
rg123|发弹幕不卡
他喵的理想乡|艹蛋的字幕组
正在删除丶|战神P，弹幕刷起来！！
洋葱狐狸君|听说发弹幕不卡
彡泣灬焰|******+MAX
高汐诚|百万刷招待40元20个只限14号一天，企鹅6674****
六月鸣神|四川人弹幕刷起来
总攻の盟月|弹幕刷起来啊
-仅泚洏苡°|▁▂▃▄▅▆▇██▇▆▅▄▃▂▁▁▂▃▄▅▆▇██▇▆▅▄▃▂▁▁▂▃▄▅▆▇██▇▆▅
菟丝の子|a30cc邀请码，注册时输出可以拿一张5X卡
兔斯基IO|飞
夜契君|QB出没
Sangulanr|南京人对日本人仇视有问题？不明白什么叫做名族仇恨的请你去补一下南京大屠杀的历史
贱贱小麦|为什么说我是抄袭的QAQ
萝莉vsLOLI|据说发弹幕不卡
丨式丶|看中二的都是SB
丨灰原哀丶|看灌篮的都是SB
血染晴空|太萌
节操已喂猫|了
MuteBoon|飞
呀达拉一卡|发弹幕不卡
岚岚岚岚岚|艹死王尼玛
plaything丶|老
半夏轻秋|刘宇翔是煞笔刘宇翔❤是煞笔刘宇翔是煞笔刘❤宇翔是煞❤笔刘宇翔是煞笔刘宇翔是煞笔刘宇❤翔是煞笔刘宇翔是煞❤笔刘宇翔是煞笔❤刘宇翔是煞笔刘宇翔❤是煞笔刘宇翔是煞笔刘❤宇翔是煞笔刘宇翔是❤煞笔刘宇翔是煞笔
漓佐佐|눈 눈
魂魄.灵梦|这些在中国，都是非**集会、非**组织，下场和******一样
丨贽殿遮那丶|SB才看火影
沉默的潜袭者|******？
节操究竟是|高产赛母猪
20000422|一定要看完
进击の临娘|弹幕刷起来啊  魂淡们！
狼狼是个抖S|太咩，你们这样也算是银他妈粉丝吗，弹幕刷起来！！！！！
口口V口口|了
可伸缩的萝莉|徐州宅动漫，新区师大南150米
—钻蓝—|这是一个哀伤的故事
BW君|你为什么这么吊
咕噜咕噜的毁灭术|发弹幕不卡
xuxun0701|文化大**字母没打出来啊
挚爱灬浅浅|发弹幕不卡...
千里殇歌|发弹幕不卡？
li1201|听说发弹幕不卡
堂堂威风|弹幕刷起来~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
【我就是⑨】|飞                                   飞                                   飞             飞                                   飞                                   飞                                   飞
幽灵残月|飞
【我就是⑨】|飞                                   飞                                   飞                                   飞                                   飞                                   飞                                   飞
雨丶前尘梦|飞                                                                                                           飞                                                               飞
【我就是⑨】|飞                            飞                                      飞                                        飞                                         飞                              飞
SC2中的艾吉奥|飞
雨丶前尘梦|飞                                                          飞                                                          飞                                                          飞
天国の节操君。|飞   ~                                      飞~                     飞~~飞   ~                                      飞~                     飞~~飞   ~                                      飞~                     飞~~飞   ~
幽灵残月|飞
Kasim1994|百万亚瑟王一区招待码1315*球使用，我爱小忍~
CampionOe|高三狗-表示：都上了半个月了自重( ⊙ o ⊙ )啊！
CampionOe|高三狗路过--
小丨楠|我有邀请码
维克多莉亚猫|手机测试弹幕⊙ω⊙
漫画空|听说发弹幕不卡
chanyub|阿姆斯特朗回旋喷气式阿姆斯特朗炮都被惊没了
3dmのfestiv|血洗墨西哥
3dmのfestiv|臭**丝你玩的起码
chanyub|笑死了
3dmのfestiv|莫愁
渣某|现在居然还有人陪我看！！@_@!!!~~~
魔影魂|步你十三姨夫
灬虚、、|我来解释  →v→那是爆菊专用
亾时无罓诳语|大**好是是miku绿
亾时无罓诳语|大**好我是金克拉
3dmのfestiv|奢求
真·无聊の骚年|飞
未闻花名^|UP主果然是要作死     去你妈逼的
烨炎花|梁佩再给一次机会我啊！！！！梁佩啊梁佩啊梁佩啊梁佩啊梁佩啊梁佩啊梁佩啊梁佩啊
郜鄙俚|听说发弹幕不卡
THE  BEAST|听说发弹幕不卡····
叁爺_总攻|正宗好凉茶正宗好声音欢迎收看由凉茶领导品牌加多宝为您冠名的加多宝凉茶中国好声音喝启力添动力娃哈哈启力精神保健品为中国好声音加油。本届中国好声音所有学员当中四位导师最得意的门生将踏上娃哈哈启力音乐梦想之旅。发短信参与互动立即获得苏宁易购的100元优惠券感谢苏宁易购对本节目的大力支持。我们的好声音学员如果获得三位或者三位以上导师认可即可获得苏宁易购提供的1万元音乐梦想基金。感谢上海新锦江大酒店为中国好声音导师提供的酒店赞助。 关注加多宝凉茶
淫荡老祖|卡死了啊！！！！谁说的发弹幕不卡给我站出来！
上凉|变
wlt5450781|▁▂▃▄▅▆▇█▉█▉▇▆▅▄▃▂▁▁▂
狼牙夜|天兔党停课~~~
秋山零奈|求加朋友♀2449*****
制式杯具|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂
喵哈喵哈|据说发弹幕不卡
LC805|找妹子要的会员邀请码。。
动漫游戏通吃|发弹幕不卡
巫女漪vya|非**请求
莪 、不 亦|卡
我妈妈|侦测到在途的核聚变打击，非战斗人员请迅速撤离，这不是演习！！！
扯疼了嘴角|叽叽叽叽叽叽叽叽
橘蕉葱|3.1415**********************************************************************************************************************************************************************************************************************
风见鶏|习近平邀你做大梦！
苏乐|★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　　★═━┈┈┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈
专业捡肥皂！|\\\广州未赢够///
渡辺麻友酱|坑
沫兮|(╯‵□′)╯︵┴─┴(╯‵□′)╯︵┴─┴(╯‵□′)╯︵┴─┴(╯‵□′)╯
evil-l-l|╯‵□′)╯︵┻━┻(╯‵□′)╯︵┻━┻(╯‵□′)╯︵┻━┻(╯‵□′)╯︵
某Sweet|(╯°Д°)╯︵ ┻━┻
Aesky|(╯‵□′)╯︵┻━┻(╯‵□′)╯︵┻━┻(╯‵□′)╯︵┻━┻(╯‵□′)╯
进击的高尼玛|ＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦＦ
冰洛冷忆|这
节操都没了|http://**********.com/  福利网站哦
此名不会重|弹幕刷起来！
Meditation|▁▂▃▄▅▆▇█▉▊▋▌▌▍▎▏▎▍▌▋▊▉█▇▆▄▅▃▂▁
步入黑暗|看完后
一风云安|汉字威武
淘淘兄|灭美艹中
blackdog|据说发弹幕不卡
已存在了|条
chouzige|飞                               飞           飞               飞
小麻掉节操|挺直腰板走下去~~GIN桑生日快乐
花凋子夜|0111******  10  1011***********************
花凋子夜|0011***   1011*  0101***
花凋子夜|（0011********）
花凋子夜|1101********************
花凋子夜|1101***
花凋子夜|0101***********
花凋子夜|（0110**********************）
花凋子夜|（0100**********************）
花凋子夜|节操绿：字幕纯属娱乐，无任何实际意义，不要在意这些细节o(╯□╰)o
花凋子夜|（0100****************）
花凋子夜|（0100******  10  0101*********************）
花凋子夜|（0110***************）
花凋子夜|（0010*******************）
花凋子夜|（0101****************）
花凋子夜|（0111*****  10  0101*******************）
花凋子夜|（0101**********  10  0100**********************）
花凋子夜|（0110*****************）
龌龊的桔子酱|为什么有韩剧
o天朝软妹o|剧透一时爽，全**火葬场。。。
小爱..|这点弹幕也叫银魂
小⑨风见幽香|吉林工业职业技术学院 发来贺电
於心|发弹幕不卡
安若茜|◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡. ◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.｡.◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡. ◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.｡.◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡. ◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･◀◘
DackFlameM|美琴大人~~
517456|淘宝一元钱的邀请码-3-
夜与笙歌|凛遥一生堆凛遥一生堆凛遥一生堆
安染莫|(╯‵□′)╯︵┻━┻
壮哉我大中华|不要再做这种事了哦
熊孩子张小邪|♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇▆▅▄▃▂▁♩♪♫▁▂▃▄▅▆▇█▇
飞机君.|function setWorldLine(cmt)
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				{
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					var gf1=$.createGlowFilter(0x0080FF,0.9,16,16,2,1,false,false);
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						var cmtf = cmt.getTextFormat(0,1);cmtf.bold=false;cmt.setTextFormat(cmtf,0,1);cmt.filters=[gf1];
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						}
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						cmt_1 = $.createComment("扫雷请空降01：40
